APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
  114     2023   344          3390.0000       -2713833.5139    5303935.1751   -2269513.5700       2.15601782        2.4423      0.000000       0.000000        0.000000      0.000000       0.000000
  115     2023   344          3420.0000       -2713833.5147    5303935.1751   -2269513.5700       2.51198640        2.4422      0.000000       0.000000        0.000000      0.000000       0.000000
  116     2023   344          3450.0000       -2713833.5154    5303935.1748   -2269513.5697       2.25467279        2.4425      0.000000       0.000000        0.000000      0.000000       0.000000
  117     2023   344          3480.0000       -2713833.5161    5303935.1752   -2269513.5698       2.78290411        2.4420      0.000000       0.000000        0.000000      0.000000       0.000000
  118     2023   344          3510.0000       -2713833.5163    5303935.1751   -2269513.5696       2.22436976        2.4418      0.000000       0.000000        0.000000      0.000000       0.000000
  119     2023   344          3540.0000       -2713833.5161    5303935.1747   -2269513.5691       3.16348389        2.4416      0.000000       0.000000        0.000000      0.000000       0.000000
  120     2023   344          3570.0000       -2713833.5166    5303935.1739   -2269513.5684       2.29142500        2.4420      0.000000       0.000000        0.000000      0.000000       0.000000
  121     2023   344          3600.0000       -2713833.5181    5303935.1733   -2269513.5676       2.58153864        2.4420      0.000000       0.000000        0.000000      0.000000       0.000000
  122     2023   344          3630.0000       -2713833.5180    5303935.1725   -2269513.5666       2.28550158        2.4421      0.000000       0.000000        0.000000      0.000000       0.000000
  123     2023   344          3660.0000       -2713833.5181    5303935.1717   -2269513.5660       1.98117875        2.4426      0.000000       0.000000        0.000000      0.000000       0.000000
  124     2023   344          3690.0000       -2713833.5178    5303935.1708   -2269513.5651       2.25279328        2.4431      0.000000       0.000000        0.000000      0.000000       0.000000
  125     2023   344          3720.0000       -2713833.5172    5303935.1695   -2269513.5641       1.94153575        2.4438      0.000000       0.000000        0.000000      0.000000       0.000000
  126     2023   344          3750.0000       -2713833.5168    5303935.1683   -2269513.5630       2.10393530        2.4446      0.000000       0.000000        0.000000      0.000000       0.000000
  127     2023   344          3780.0000       -2713833.5169    5303935.1675   -2269513.5622       2.00880257        2.4450      0.000000       0.000000        0.000000      0.000000       0.000000
  128     2023   344          3810.0000       -2713833.5172    5303935.1673   -2269513.5619       2.21527250        2.4452      0.000000       0.000000        0.000000      0.000000       0.000000
  129     2023   344          3840.0000       -2713833.5176    5303935.1677   -2269513.5616       2.27862027        2.4446      0.000000       0.000000        0.000000      0.000000       0.000000
  130     2023   344          3870.0000       -2713833.5185    5303935.1679   -2269513.5614       2.13011503        2.4448      0.000000       0.000000        0.000000      0.000000       0.000000
  131     2023   344          3900.0000       -2713833.5204    5303935.1692   -2269513.5614       2.02829920        2.4433      0.000000       0.000000        0.000000      0.000000       0.000000
  132     2023   344          3930.0000       -2713833.5224    5303935.1706   -2269513.5617       2.41282478        2.4427      0.000000       0.000000        0.000000      0.000000       0.000000
  133     2023   344          3960.0000       -2713833.5249    5303935.1723   -2269513.5620       2.28214524        2.4416      0.000000       0.000000        0.000000      0.000000       0.000000
  134     2023   344          3990.0000       -2713833.5274    5303935.1737   -2269513.5623       2.14108922        2.4406      0.000000       0.000000        0.000000      0.000000       0.000000
  135     2023   344          4020.0000       -2713833.5301    5303935.1756   -2269513.5626       2.35102873        2.4389      0.000000       0.000000        0.000000      0.000000       0.000000
  136     2023   344          4050.0000       -2713833.5318    5303935.1767   -2269513.5627       2.17877635        2.4382      0.000000       0.000000        0.000000      0.000000       0.000000
  137     2023   344          4080.0000       -2713833.5335    5303935.1780   -2269513.5629       2.36256637        2.4375      0.000000       0.000000        0.000000      0.000000       0.000000
  138     2023   344          4110.0000       -2713833.5354    5303935.1787   -2269513.5630       2.10946994        2.4382      0.000000       0.000000        0.000000      0.000000       0.000000
  139     2023   344          4140.0000       -2713833.5368    5303935.1795   -2269513.5631       2.12672317        2.4383      0.000000       0.000000        0.000000      0.000000       0.000000
  140     2023   344          4170.0000       -2713833.5381    5303935.1803   -2269513.5629       2.06106071        2.4381      0.000000       0.000000        0.000000      0.000000       0.000000
  141     2023   344          4200.0000       -2713833.5384    5303935.1803   -2269513.5624       2.07694176        2.4381      0.000000       0.000000        0.000000      0.000000       0.000000
  142     2023   344          4230.0000       -2713833.5385    5303935.1795   -2269513.5616       2.29681428        2.4391      0.000000       0.000000        0.000000      0.000000       0.000000
  143     2023   344          4260.0000       -2713833.5380    5303935.1780   -2269513.5605       2.14578102        2.4402      0.000000       0.000000        0.000000      0.000000       0.000000
  144     2023   344          4290.0000       -2713833.5365    5303935.1761   -2269513.5594       3.26280792        2.4414      0.000000       0.000000        0.000000      0.000000       0.000000
  145     2023   344          4320.0000       -2713833.5358    5303935.1750   -2269513.5585       2.47285137        2.4416      0.000000       0.000000        0.000000      0.000000       0.000000
  146     2023   344          4350.0000       -2713833.5350    5303935.1732   -2269513.5574       2.09086308        2.4427      0.000000       0.000000        0.000000      0.000000       0.000000
  147     2023   344          4380.0000       -2713833.5346    5303935.1715   -2269513.5566       1.75655966        2.4434      0.000000       0.000000        0.000000      0.000000       0.000000
  148     2023   344          4410.0000       -2713833.5348    5303935.1711   -2269513.5561       2.13912291        2.4434      0.000000       0.000000        0.000000      0.000000       0.000000
  149     2023   344          4440.0000       -2713833.5352    5303935.1712   -2269513.5560       2.30196857        2.4433      0.000000       0.000000        0.000000      0.000000       0.000000
  150     2023   344          4470.0000       -2713833.5355    5303935.1717   -2269513.5560       1.72735257        2.4426      0.000000       0.000000        0.000000      0.000000       0.000000
  151     2023   344          4500.0000       -2713833.5350    5303935.1710   -2269513.5553       2.19302314        2.4430      0.000000       0.000000        0.000000      0.000000       0.000000
  152     2023   344          4530.0000       -2713833.5347    5303935.1699   -2269513.5546       2.13184966        2.4437      0.000000       0.000000        0.000000      0.000000       0.000000
  153     2023   344          4560.0000       -2713833.5344    5303935.1693   -2269513.5540       2.24446536        2.4444      0.000000       0.000000        0.000000      0.000000       0.000000
  154     2023   344          4590.0000       -2713833.5341    5303935.1690   -2269513.5535       2.12251210        2.4445      0.000000       0.000000        0.000000      0.000000       0.000000
  155     2023   344          4620.0000       -2713833.5336    5303935.1683   -2269513.5528       2.19647809        2.4453      0.000000       0.000000        0.000000      0.000000       0.000000
  156     2023   344          4650.0000       -2713833.5336    5303935.1685   -2269513.5525       2.13305584        2.4447      0.000000       0.000000        0.000000      0.000000       0.000000
  157     2023   344          4680.0000       -2713833.5326    5303935.1675   -2269513.5517       2.34767260        2.4449      0.000000       0.000000        0.000000      0.000000       0.000000
  158     2023   344          4710.0000       -2713833.5312    5303935.1663   -2269513.5508       2.20167669        2.4455      0.000000       0.000000        0.000000      0.000000       0.000000
  159     2023   344          4740.0000       -2713833.5310    5303935.1666   -2269513.5506       2.34209578        2.4451      0.000000       0.000000        0.000000      0.000000       0.000000
  160     2023   344          4770.0000       -2713833.5310    5303935.1669   -2269513.5504       2.18050137        2.4451      0.000000       0.000000        0.000000      0.000000       0.000000
  161     2023   344          4800.0000       -2713833.5310    5303935.1668   -2269513.5502       2.09522406        2.4454      0.000000       0.000000        0.000000      0.000000       0.000000
  162     2023   344          4830.0000       -2713833.5301    5303935.1660   -2269513.5497       2.07392550        2.4457      0.000000       0.000000        0.000000      0.000000       0.000000
  163     2023   344          4860.0000       -2713833.5300    5303935.1663   -2269513.5497       1.83751330        2.4456      0.000000       0.000000        0.000000      0.000000       0.000000
  164     2023   344          4890.0000       -2713833.5299    5303935.1665   -2269513.5495       1.94413235        2.4453      0.000000       0.000000        0.000000      0.000000       0.000000
  165     2023   344          4920.0000       -2713833.5292    5303935.1661   -2269513.5493       2.03519293        2.4454      0.000000       0.000000        0.000000      0.000000       0.000000
  166     2023   344          4950.0000       -2713833.5288    5303935.1658   -2269513.5490       1.80630300        2.4454      0.000000       0.000000        0.000000      0.000000       0.000000
  167     2023   344          4980.0000       -2713833.5282    5303935.1651   -2269513.5487       2.03041117        2.4457      0.000000       0.000000        0.000000      0.000000       0.000000
  168     2023   344          5010.0000       -2713833.5271    5303935.1639   -2269513.5482       2.17588100        2.4461      0.000000       0.000000        0.000000      0.000000       0.000000
  169     2023   344          5040.0000       -2713833.5262    5303935.1631   -2269513.5477       2.84755670        2.4463      0.000000       0.000000        0.000000      0.000000       0.000000
  170     2023   344          5070.0000       -2713833.5261    5303935.1631   -2269513.5476       2.84153586        2.4463      0.000000       0.000000        0.000000      0.000000       0.000000
